state,price,sqft
Florida,$36868,1338
California,$45584,1317
Montana,$76637,3916
California,$41240,1889
Montana,$10826,1628
Illinois,$11783,2311
California,$13877,1100
Florida,$74724,3499
California,$84780,2273
Florida,$16641,3710
Florida,$86617,1917
Florida,$18326,1161
California,$95139,3925
California,$43011,2913
Florida,$38618,3419
Florida,$95355,1638
Montana,$17100,3845
Florida,$99181,3043
Illinois,$73016,2553
Montana,$79108,3676
Montana,$82455,2130
Florida,$32485,1669
California,$55029,2914
Montana,$26756,1724
California,$54737,1084
Illinois,$2905,2682
Florida,$8208,3007
Florida,$39565,1171
California,$36462,2190
Illinois,$59300,3388
California,$86994,2804
Illinois,$40835,769
Florida,$47564,2161
Illinois,$44379,1488
Illinois,$8349,1369
Illinois,$37422,1648
Montana,$84856,2477
California,$95878,1281
California,$21616,1585
Montana,$53003,1859
California,$14763,2394
California,$87939,3345
Montana,$22360,2899
Illinois,$8592,3367
Illinois,$37845,2823
Florida,$87040,1991
Illinois,$48805,2180
California,$5950,2047
California,$61177,3958
Montana,$30779,1350
Illinois,$51547,974
Florida,$13957,1060
Florida,$54941,1026
Montana,$44370,3793
Montana,$74225,2604
Florida,$9108,1308
Illinois,$63180,3560
California,$98920,2145
Montana,$65299,3064
Montana,$50103,1166
Illinois,$31709,1860
Montana,$32023,1565
Illinois,$55948,3389
Florida,$93033,2027
Montana,$23484,1283
Illinois,$98865,3049
Florida,$58152,3990
California,$83489,3462
Illinois,$53564,3637
Illinois,$10841,1680
Montana,$51049,3010
Florida,$26151,3203
California,$29270,1987
Montana,$8193,2586
Montana,$96516,3316
Illinois,$86093,2186
Montana,$98983,2587
Florida,$24126,3317
Montana,$18642,3809
Florida,$35524,1913
Montana,$17255,2753
Florida,$35541,3210
Illinois,$8862,1376
California,$61911,2251
California,$28053,1272
California,$16428,2837
California,$26505,3771
California,$28011,3371
Illinois,$21676,964
Florida,$60749,2233
Illinois,$76556,1400
Florida,$87392,1833
Florida,$19181,3462
California,$50889,1674
California,$67670,1470
Illinois,$62289,3622
Florida,$5102,2368
California,$80896,2616
Florida,$80686,3969
Montana,$54926,2656
Montana,$60646,3846
Illinois,$43341,757
California,$33361,1582
Montana,$18465,2756
California,$58339,3222
Illinois,$24505,2355
Montana,$53268,3729
Florida,$75802,3964
Montana,$7296,970
Illinois,$91106,915
Illinois,$27641,2339
California,$72573,2282
Illinois,$87359,2752
California,$44993,1632
California,$50251,1730
California,$46037,3857
California,$41607,1448
Florida,$63366,1350
Illinois,$63179,3680
Florida,$95304,1503
Illinois,$94151,1483
Montana,$72658,2989
California,$91033,3095
Montana,$3754,836
Illinois,$39057,3431
Florida,$80081,768
Illinois,$51864,954
Illinois,$22664,3845
Florida,$24405,1096
California,$91249,2305
California,$17731,2412
California,$20325,3836
California,$6228,2752
Illinois,$49985,803
Illinois,$36222,1309
Illinois,$65839,3774
California,$91725,2928
California,$15218,3547
Illinois,$74727,2126
Florida,$55330,3104
Montana,$69173,1152
California,$98747,3530
Illinois,$41516,1673
California,$64065,1623
Illinois,$9126,1360
California,$49899,1303
California,$54963,1117
California,$83115,1533
California,$26823,2560
Florida,$33382,3994
Florida,$13129,1480
Montana,$15609,1439
California,$2866,3986
California,$27856,2961
Montana,$28992,1953
Florida,$4600,1249
California,$8076,2079
Florida,$76018,2710
Florida,$11953,880
California,$44416,1649
California,$37977,3422
Montana,$16518,3134
Illinois,$61687,1754
Montana,$3574,3648
Illinois,$94001,3508
Illinois,$85336,2330
Illinois,$18430,875
Florida,$95828,3364
Montana,$35310,3019
Montana,$20781,2550
Illinois,$19969,2380
California,$2565,3840
California,$62717,1974
California,$67295,1435
Florida,$80808,2355
Illinois,$87273,3237
Florida,$2197,3788
Montana,$14627,3888
Illinois,$40792,756
Montana,$87320,2019
Florida,$76020,3153
California,$88844,3743
Montana,$30182,3552
Montana,$28737,1603
Montana,$24905,2305
Florida,$46542,2422
Montana,$42910,2102
Florida,$96904,3965
California,$62642,1514
Illinois,$50484,3267
Illinois,$4863,2096
Illinois,$68778,1519
Illinois,$4444,3022
Florida,$60056,2476
Florida,$14743,1049
Illinois,$84191,3433
Illinois,$53679,3221
Florida,$97346,1749
California,$73444,2868
Illinois,$12436,3269
California,$78114,1279
Florida,$12508,3696
Illinois,$14349,2709
California,$33991,988
Montana,$42675,3451
California,$81730,3744
Montana,$35873,2792
Florida,$61075,3806
Florida,$39014,3757
Florida,$18355,2108
Florida,$68226,3799
Montana,$78135,1066
California,$91905,882
Illinois,$50548,1470
California,$97945,957
Florida,$78925,2554
California,$31591,1171
Montana,$60386,1306
Florida,$72672,964
Illinois,$18087,2312
California,$93205,2876
Florida,$98990,771
Florida,$83704,2364
Illinois,$50152,2340
Illinois,$52437,2744
California,$40868,1189
Illinois,$50436,2199
California,$86340,993
California,$4948,3363
Montana,$12441,882
Illinois,$35177,1269
Illinois,$72871,3841
California,$61627,3550
Florida,$21860,3867
Montana,$64849,1757
Montana,$94202,2992
Florida,$90388,2559
Florida,$12386,1293
Florida,$20475,3698
California,$87746,3828
Illinois,$1537,1061
California,$31279,3110
Montana,$13784,1596
California,$28329,3325
Illinois,$68895,2731
California,$9662,1514
Florida,$26661,3050
Montana,$85690,1143
Illinois,$61551,2061
Florida,$23160,2839
California,$3252,3588
Florida,$51607,3266
Florida,$91248,956
Montana,$94712,2851
California,$75092,3369
Florida,$48697,3581
Illinois,$87116,2183
Illinois,$58710,1307
California,$53325,2564
Montana,$36566,2891
Montana,$37918,1759
Illinois,$14707,3400
Montana,$89929,1218
Illinois,$46030,1290
Florida,$36655,3970
Florida,$42895,3863
California,$20647,3015
California,$7199,3625
Illinois,$91396,1285
Illinois,$3016,1258
Illinois,$25513,3148
Montana,$85597,3281
Illinois,$6485,1136
Illinois,$54047,2942
Illinois,$8638,2553
Florida,$96641,2726
California,$45014,1185
California,$37023,3495
Montana,$5124,2173
Illinois,$51676,2891
Illinois,$10563,3021
Florida,$26065,3955
Florida,$34503,2027
Montana,$73823,2349
Montana,$80797,2346
Montana,$48648,2957
California,$51633,1616
Montana,$62859,1329
California,$37498,1126
Florida,$69085,1961
Illinois,$17651,2951
Florida,$40295,2638
California,$39929,763
Florida,$36059,3823
California,$66744,2903
Montana,$87151,3653
Illinois,$22312,793
Montana,$92746,1666
Montana,$50387,1091
California,$86970,3348
Montana,$50319,3533
Florida,$34793,765
Florida,$14619,2693
Montana,$31024,3563
California,$86846,3711
Florida,$15325,3117
Florida,$82132,1388
California,$48212,875
Florida,$92694,3830
California,$73529,3616
California,$45042,2761
Montana,$33900,2231
Montana,$88984,2661
California,$50851,3165
Montana,$90758,1234
Montana,$74250,3281
California,$80780,879
Illinois,$62404,1888
Illinois,$97941,3367
Montana,$19913,2707
Montana,$93875,3463
Florida,$3322,3630
Montana,$43751,759
Montana,$76204,792
Illinois,$83832,1378
Montana,$95985,1773
Illinois,$38840,2549
Florida,$59591,1241
Florida,$97163,3893
Montana,$87767,3760
Florida,$80278,3315
California,$67167,1213
Montana,$90807,2065
Illinois,$82896,1746
Montana,$96270,3995
Florida,$60181,3200
Florida,$56184,3194
Montana,$12011,3089
Montana,$65012,1203
California,$87752,2214
Montana,$78801,3701
Montana,$31372,842
Illinois,$59012,1544
California,$77433,3973
Florida,$58963,2845
Illinois,$66174,2222
Montana,$29327,1895
Florida,$81853,2099
Florida,$26143,1871
Montana,$86441,1846
Montana,$7787,1828
California,$51635,3012
Florida,$57603,1947
Illinois,$9334,3958
Illinois,$78610,2600
Montana,$78019,2038
California,$1647,2437
Florida,$88885,2258
Florida,$7992,845
Montana,$50647,3126
Florida,$30657,3275
Montana,$50263,1450
Florida,$93708,2562
Florida,$86322,2084
California,$17822,1748
Illinois,$41172,1772
Montana,$19002,1552
Florida,$10917,1343
Illinois,$98470,3973
Montana,$48999,2610
Florida,$61670,2902
Florida,$94293,812
California,$72370,3942
Illinois,$83691,2655
California,$49123,2087
Illinois,$9771,1179
Florida,$58158,946
California,$48054,1934
Illinois,$9214,2377
Illinois,$94981,3975
Illinois,$85220,1640
California,$90224,1590
Montana,$6264,2344
Florida,$2838,2210
California,$60098,2392
Florida,$97911,1465
Florida,$94957,3889
Florida,$62025,3006
Illinois,$73432,2822
California,$1636,1785
Florida,$68410,2064
California,$8385,3634
California,$41834,2024
Montana,$59696,3714
Illinois,$31511,2775
Montana,$61586,1036
California,$80515,1694
California,$18564,2247
Montana,$15369,2281
Florida,$19904,956
Florida,$62340,1294
Florida,$56412,2223
Florida,$29886,2023
Montana,$6343,2689
Florida,$49558,1721
California,$19000,1586
Illinois,$26728,1396
Illinois,$60829,1697
Montana,$69729,2845
Montana,$5022,3614
Florida,$30867,2906
Florida,$66566,1997
Illinois,$34499,3784
California,$18681,3536
Montana,$24364,2416
Montana,$85338,1767
Montana,$87690,1236
Illinois,$30017,3808
Illinois,$60968,3436
Montana,$98550,1793
Illinois,$75455,3502
Montana,$99800,997
Florida,$99948,3481
Illinois,$9128,1688
Illinois,$89059,2126
California,$83542,1674
California,$99943,2231
Montana,$12559,1067
Montana,$74318,3790
Florida,$55787,3198
Florida,$62220,2716
Florida,$76532,3702
Florida,$46275,3470
Illinois,$50512,882
Illinois,$79094,1325
Florida,$66144,1233
California,$87122,1430
Montana,$3835,3628
California,$24532,3850
Illinois,$49774,2801
Illinois,$11458,1330
Illinois,$52713,2052
Illinois,$27808,2037
California,$60135,2153
Florida,$60254,1914
California,$23658,1994
Montana,$62029,2073
Montana,$53750,1396
Florida,$96616,3120
Illinois,$1110,3924
Illinois,$27285,1909
California,$80469,3096
Illinois,$65375,3913
Florida,$94715,1997
Montana,$57425,3668
Montana,$13058,1852
California,$98449,2463
Florida,$60762,3232
Florida,$49178,1287
Florida,$37300,1519
California,$67737,3434
Illinois,$91925,2017
Montana,$26379,3740
Illinois,$15866,3265
Montana,$89338,778
Illinois,$81322,3516
Florida,$89362,3695
Illinois,$32902,1476
Florida,$94511,3621
Florida,$68639,2112
Florida,$39755,1968
California,$15281,2140
Florida,$68189,3320
Florida,$36521,1487
Florida,$83630,3288
Florida,$54885,1319
Illinois,$42271,3250
Montana,$86371,3685
Florida,$33950,3344
Illinois,$20901,1453
California,$69452,2526
Illinois,$54612,3440
Illinois,$37826,841
Florida,$56052,2806
Illinois,$80424,1988
Montana,$10488,2771
Illinois,$7323,987
Illinois,$2354,1089
Florida,$52268,2862
Florida,$31338,1159
Montana,$49028,1056
Illinois,$35155,3822
Florida,$99098,2918
Illinois,$53047,3745
Florida,$30779,1990
California,$80484,1260
Illinois,$28271,3503
California,$3797,2638
Florida,$55394,2601
Illinois,$12915,3706
Illinois,$58285,2240
California,$27398,2396
Florida,$87382,778
Florida,$83414,3248
Montana,$11081,3924
Montana,$54617,3983
California,$63630,2993
Montana,$28013,3508
Florida,$75533,3970
California,$65240,2216
Montana,$40597,3854
Illinois,$12053,2624
Montana,$70131,1256
Montana,$55339,2964
Illinois,$6002,2885
Illinois,$2831,2197
Illinois,$12888,3418
Illinois,$74702,3454
Montana,$21584,3514
Florida,$38688,3111
Montana,$51851,3674
California,$49491,2597
Florida,$90203,3422
Illinois,$68462,1641
Montana,$24384,3856
Montana,$16483,2454
Florida,$31478,1454
California,$2274,3254
California,$42990,1088
California,$75251,1300
Illinois,$7833,1285
California,$73870,1024
California,$75084,3872
California,$48445,2351
Illinois,$47915,3233
Montana,$34951,1140
California,$32007,3361
Montana,$34039,3225
Florida,$2693,2677
Montana,$14737,2621
California,$24989,3315
Illinois,$87700,3847
Illinois,$70913,3663
California,$76765,1329
Illinois,$52267,2201
California,$46065,3923
Montana,$75072,2327
California,$53410,3622
Illinois,$34232,3614
Florida,$84088,2880
Montana,$57045,3641
California,$95834,1221
Illinois,$96718,1502
California,$12172,3019
Florida,$54597,950
Illinois,$62946,870
Florida,$23552,3104
Montana,$69903,1975
Illinois,$27750,816
Montana,$48197,3322
Illinois,$27094,1963
Illinois,$54443,2645
Illinois,$51317,2100
Montana,$59032,913
California,$44893,3477
Montana,$11263,3580
California,$45073,3433
Florida,$15126,1055
California,$9987,1648
Montana,$65328,1815
Montana,$57778,3965
California,$51457,3855
Montana,$21695,2479
Montana,$4844,3833
California,$48920,2634
Florida,$97324,3667
Illinois,$78573,1804
Montana,$51940,3873
California,$88478,1805
Florida,$22335,1126
Florida,$58751,3512
Florida,$90444,1791
Illinois,$62592,1514
Illinois,$86882,1087
Montana,$80641,1530
Montana,$66808,896
Montana,$20218,1601
Illinois,$80970,2821
Florida,$34576,801
Florida,$6628,2707
California,$95100,1431
Illinois,$26982,3109
Montana,$80404,2505
Florida,$61364,1360
California,$81460,3206
California,$7395,765
Illinois,$71042,1669
Florida,$58261,1409
Montana,$62372,840
California,$50946,1417
Florida,$38297,3129
Montana,$90061,3111
Montana,$24165,1804
Florida,$65825,1573
California,$28045,1343
California,$95743,2178
Florida,$74492,843
Montana,$97465,1270
Florida,$52327,3522
Illinois,$88258,826
Illinois,$19024,970
Florida,$76201,1435
California,$70314,1065
California,$20791,2621
California,$32258,2126
Illinois,$16089,3021
Florida,$53280,1738
Illinois,$20283,3727
Illinois,$12049,2428
California,$52197,3531
Florida,$71954,2214
Montana,$64884,2978
Illinois,$20217,3179
Montana,$32088,2889
Florida,$23332,3582
California,$79540,1048
Montana,$88519,2371
Florida,$16407,3974
Florida,$86658,3163
Florida,$36379,2794
California,$77207,2466
Illinois,$57743,2202
Montana,$95138,1355
Montana,$5920,2122
Montana,$47979,1192
California,$74663,3940
Florida,$13169,821
California,$85197,3278
Montana,$17154,789
Montana,$52012,3470
California,$8057,1728
Florida,$39301,2615
California,$61925,2329
Illinois,$83133,1630
California,$64469,3307
Florida,$19763,2039
Illinois,$65763,1325
California,$76053,3339
Illinois,$17891,2266
California,$78995,2926
California,$31502,2091
